Rank Name Score Finish Time Q1 (4) Q2 (6) Q3 (7) Q4 (10)
183|maddigerati|10|1:31:33|0:52:42|0|1:26:33|1|-1|-1|-1|-1|
184|pance|10|1:32:19|0:26:31|2|1:12:19|2|-1|-1|-1|-1|
185|Jixin_Si_ND|10|1:34:04|0:23:42|1|1:09:04|4|-1|-1|-1|-1|
186|rhyme|10|1:34:16|0:21:27|2|1:24:16|0|-1|-1|-1|-1|
187|nijiademianbao|10|1:34:55|1:19:55|1|1:06:26|2|-1|-1|-1|-1|
188|abdurrhman|10|1:38:23|0:57:52|0|1:28:23|2|-1|-1|-1|-1|
189|sheng5|10|1:39:18|1:06:12|4|1:19:18|0|-1|-1|-1|-1|
190|TobeABetterMan|10|1:41:29|0:24:17|4|1:16:29|1|-1|-1|-1|-1|
191|lupengchang2013|10|1:42:22|0:49:55|2|1:22:22|2|-1|-1|-1|-1|
192|lzyerste|10|1:42:30|0:58:03|1|1:27:30|2|-1|-1|-1|-1|
193|olegzergmaster|10|1:43:35|0:44:48|3|1:13:35|3|-1|-1|-1|-1|
194|q13245632|10|1:44:34|0:34:43|4|1:19:34|1|-1|-1|-1|-1|
195|blademamama|10|1:45:36|0:20:38|3|1:15:36|3|-1|-1|-1|-1|
196|QAMichaelPeng|10|1:46:47|0:22:41|1|1:21:47|4|-1|-1|-1|-1|
197|bookshadow|10|1:47:36|1:22:36|4|0:42:17|1|-1|-1|-1|-1|
198|逼里有蛇|10|1:48:22|0:44:36|3|1:28:22|1|-1|-1|-1|-1|
199|hwm|10|1:51:10|0:42:56|3|1:21:10|3|-1|-1|-1|-1|
200|mz19937|10|1:53:45|0:40:18|8|1:13:45|0|-1|-1|-1|-1|
201|alucard945|10|1:54:11|0:55:33|4|1:24:11|2|-1|-1|-1|-1|
202|skyhuang|10|1:54:43|1:29:43|3|1:17:54|2|-1|-1|-1|-1|
203|kangtaku|10|1:57:34|0:41:22|7|1:12:34|2|-1|-1|-1|-1|
204|albertwho|10|1:57:48|0:40:13|5|1:27:48|1|-1|-1|-1|-1|
205|mitsuha1129|10|1:58:24|0:41:01|4|1:18:24|4|-1|-1|-1|-1|
206|devilivm|10|2:17:49|0:56:09|9|1:17:49|3|-1|-1|-1|-1|
207|AdamTai|10|2:18:07|0:59:14|9|1:28:07|1|-1|-1|-1|-1|
208|yang_m|10|9:33:47|-1|-1|-1|-1|-1|-1|1:23:47|98|
209|ccwei|7|0:32:15|-1|-1|-1|-1|0:32:15|0|-1|-1|
210|thegreatgooo|7|0:33:14|-1|-1|-1|-1|0:33:14|0|-1|-1|
211|linglingling|7|0:33:39|-1|-1|-1|-1|0:33:39|0|-1|-1|
212|CRunner|7|0:33:54|-1|-1|-1|-1|0:33:54|0|-1|-1|
213|prakhar15|7|0:35:28|-1|-1|-1|-1|0:35:28|0|-1|-1|
214|lingyi3|7|0:39:11|-1|-1|-1|-1|0:39:11|0|-1|-1|
215|yzeng61987|7|0:40:21|-1|-1|-1|-1|0:40:21|0|-1|-1|
216|fuchedzhy|7|0:41:24|-1|-1|-1|-1|0:41:24|0|-1|-1|
217|zhanzq|7|0:42:19|-1|-1|-1|-1|0:42:19|0|-1|-1|
218|patrickm|7|0:42:27|-1|-1|-1|-1|0:42:27|0|-1|-1|
219|vonzcy|7|0:49:35|-1|-1|-1|-1|0:49:35|0|-1|-1|
220|tangalai|7|0:50:36|-1|-1|-1|-1|0:50:36|0|-1|-1|
221|sherlock321|7|0:52:08|-1|-1|-1|-1|0:47:08|1|-1|-1|
222|apoorv1993|7|0:52:58|-1|-1|-1|-1|0:52:58|0|-1|-1|
223|nocLyt|7|0:56:09|-1|-1|-1|-1|0:56:09|0|-1|-1|
224|pangshi|7|0:59:32|-1|-1|-1|-1|0:59:32|0|-1|-1|
225|mesutekici|7|1:01:18|-1|-1|-1|-1|1:01:18|0|-1|-1|
226|alncat|7|1:01:47|-1|-1|-1|-1|1:01:47|0|-1|-1|
227|wannacry89|7|1:01:58|-1|-1|-1|-1|1:01:58|0|-1|-1|
228|sw_enthusiast|7|1:04:57|-1|-1|-1|-1|1:04:57|0|-1|-1|
229|kay_deep|7|1:10:08|-1|-1|-1|-1|1:10:08|0|-1|-1|
230|Shf|7|1:10:25|-1|-1|-1|-1|1:10:25|0|-1|-1|
231|heavenhunter|7|1:10:29|-1|-1|-1|-1|1:10:29|0|-1|-1|
232|fly_here|7|1:10:56|-1|-1|-1|-1|1:10:56|0|-1|-1|
233|terry0876|7|1:13:38|-1|-1|-1|-1|1:13:38|0|-1|-1|
234|Wycan|7|1:14:17|-1|-1|-1|-1|1:14:17|0|-1|-1|
235|yliu04|7|1:15:03|-1|-1|-1|-1|1:15:03|0|-1|-1|
236|RUCwenxiang|7|1:15:43|-1|-1|-1|-1|1:15:43|0|-1|-1|
237|bangbangbear|7|1:17:07|-1|-1|-1|-1|1:12:07|1|-1|-1|
238|milu|7|1:17:17|-1|-1|-1|-1|1:17:17|0|-1|-1|
239|jujiang|7|1:18:12|-1|-1|-1|-1|1:18:12|0|-1|-1|
240|anurag171|7|1:20:50|-1|-1|-1|-1|1:20:50|0|-1|-1|
241|yeyumujiang|7|1:22:29|-1|-1|-1|-1|1:22:29|0|-1|-1|
242|merryl|7|1:23:05|-1|-1|-1|-1|1:23:05|0|-1|-1|
243|jaysleetcode|7|1:27:42|-1|-1|-1|-1|1:27:42|0|-1|-1|
244|junhong202|7|1:29:26|-1|-1|-1|-1|1:29:26|0|-1|-1|
245|comicfans44|7|1:31:25|-1|-1|-1|-1|1:26:25|1|-1|-1|
246|ibmtp380|7|1:39:52|-1|-1|-1|-1|1:29:52|2|-1|-1|
247|WinterLi|6|0:17:23|-1|-1|0:17:23|0|-1|-1|-1|-1|
248|cleaner_1|6|0:20:51|-1|-1|0:20:51|0|-1|-1|-1|-1|
249|joy32812|6|0:29:16|-1|-1|0:24:16|1|-1|-1|-1|-1|
250|moyishi213|6|0:36:25|-1|-1|0:31:25|1|-1|-1|-1|-1|
251|yao3|6|0:38:12|-1|-1|0:38:12|0|-1|-1|-1|-1|
252|jimms|6|0:38:24|-1|-1|0:33:24|1|-1|-1|-1|-1|
253|mahekjasani|6|0:38:41|-1|-1|0:33:41|1|-1|-1|-1|-1|
254|Poohdxx|6|0:38:54|-1|-1|0:38:54|0|-1|-1|-1|-1|
255|willir29|6|0:40:01|-1|-1|0:35:01|1|-1|-1|-1|-1|
256|foreveronehundred|6|0:40:13|-1|-1|0:35:13|1|-1|-1|-1|-1|
257|headspin|6|0:40:34|-1|-1|0:25:34|3|-1|-1|-1|-1|
258|blackskygg|6|0:41:03|-1|-1|0:36:03|1|-1|-1|-1|-1|
259|zotvent|6|0:42:59|-1|-1|0:32:59|2|-1|-1|-1|-1|
260|midusha|6|0:45:58|-1|-1|0:45:58|0|-1|-1|-1|-1|
261|ruchir594|6|0:46:44|-1|-1|0:46:44|0|-1|-1|-1|-1|
262|JOTime|6|0:47:14|-1|-1|0:42:14|1|-1|-1|-1|-1|
263|li-_-il|6|0:50:31|-1|-1|0:50:31|0|-1|-1|-1|-1|
264|victorzhang21503|6|0:51:40|-1|-1|0:41:40|2|-1|-1|-1|-1|
265|dongjiajia|6|0:52:04|-1|-1|0:52:04|0|-1|-1|-1|-1|
266|zhaojunhua|6|0:53:24|-1|-1|0:53:24|0|-1|-1|-1|-1|
267|woyaoshuatile1234|6|0:54:34|-1|-1|0:49:34|1|-1|-1|-1|-1|
268|TrafalgarLaw|6|0:54:38|-1|-1|0:54:38|0|-1|-1|-1|-1|
269|gitlet|6|0:55:11|-1|-1|0:45:11|2|-1|-1|-1|-1|
270|ZhengkaiWei|6|0:55:17|-1|-1|0:50:17|1|-1|-1|-1|-1|
271|arpitm91|6|0:55:30|-1|-1|0:35:30|4|-1|-1|-1|-1|
272|changeme|6|0:56:55|-1|-1|0:51:55|1|-1|-1|-1|-1|
273|Stevan0102|6|0:57:07|-1|-1|0:52:07|1|-1|-1|-1|-1|
274|samarthmshah|6|0:57:27|-1|-1|0:57:27|0|-1|-1|-1|-1|
275|curky|6|0:58:36|-1|-1|0:58:36|0|-1|-1|-1|-1|
276|tsum_tsum_dale|6|0:59:07|-1|-1|0:59:07|0|-1|-1|-1|-1|
277|sdlzx|6|0:59:29|-1|-1|0:49:29|2|-1|-1|-1|-1|
278|iwfwcf|6|1:00:11|-1|-1|0:50:11|2|-1|-1|-1|-1|
279|bluesky999|6|1:00:30|-1|-1|0:55:30|1|-1|-1|-1|-1|
280|piyush53|6|1:01:10|-1|-1|0:56:10|1|-1|-1|-1|-1|
281|bkup|6|1:02:05|-1|-1|0:57:05|1|-1|-1|-1|-1|
282|conanjinming|6|1:02:45|-1|-1|0:57:45|1|-1|-1|-1|-1|
283|layor|6|1:02:55|-1|-1|0:52:55|2|-1|-1|-1|-1|
284|aggitup|6|1:02:57|-1|-1|0:52:57|2|-1|-1|-1|-1|
285|jichen3000|6|1:03:01|-1|-1|0:53:01|2|-1|-1|-1|-1|
