Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (6)
207|CodeTerminator|18|0:56:55|0:02:34|0|0:12:32|2|0:28:50|1|0:41:55|0|
208|cheniyuan|18|0:56:57|0:02:01|0|0:15:26|0|0:39:41|1|0:51:57|0|
209|npuzj|18|0:57:00|0:02:40|0|0:13:31|0|0:34:37|2|0:47:00|0|
210|zwlwf|18|0:57:00|0:01:50|0|0:11:35|0|0:31:11|0|0:57:00|0|
211|youx|18|0:57:15|0:03:09|0|0:09:45|1|0:24:07|0|0:52:15|0|
212|pvkhoi|18|0:57:17|0:02:32|0|0:09:43|0|0:31:43|1|0:47:17|1|
213|dancooper|18|0:57:18|0:01:47|0|0:11:22|1|0:24:08|0|0:52:18|0|
214|abhinandankainth1999|18|0:57:22|0:01:06|0|0:13:04|0|0:32:58|1|0:47:22|1|
215|kzyKT|18|0:57:27|0:01:17|0|0:07:03|0|0:30:54|4|0:37:27|0|
216|atulgarg|18|0:57:29|0:03:11|0|0:16:10|1|0:23:10|1|0:47:29|0|
217|weak-chicken|18|0:57:32|0:01:37|0|0:15:22|0|0:47:32|2|0:41:10|0|
218|sunil1821|18|0:57:45|0:02:48|0|0:17:56|1|0:32:32|1|0:47:45|0|
219|bgrm|18|0:57:46|0:03:11|0|0:10:41|1|0:26:33|1|0:42:46|1|
220|scau_grated|18|0:57:50|0:02:23|0|0:12:28|0|0:26:14|0|0:57:50|0|
221|huanglanzhiguan|18|0:57:54|0:02:39|0|0:12:25|0|0:38:07|0|0:57:54|0|
222|arunkumar3320|18|0:57:54|0:18:52|0|0:28:34|1|0:42:54|2|0:16:03|0|
223|lz_askey|18|0:57:57|0:01:50|0|0:12:18|2|0:32:27|1|0:42:57|0|
224|pkucoin|18|0:58:08|0:02:04|0|0:18:38|0|0:39:29|0|0:58:08|0|
225|HenryLee4|18|0:58:21|0:01:45|0|0:11:32|2|0:48:21|0|0:24:11|0|
226|kuuso1|18|0:58:30|0:03:01|0|0:16:10|1|0:30:25|1|0:48:30|0|
227|y119777|18|0:58:31|0:07:15|0|0:17:53|0|0:35:30|0|0:58:31|0|
228|2997ms|18|0:58:37|0:05:45|0|0:17:05|0|0:40:02|1|0:53:37|0|
229|vsam09_iitg|18|0:58:43|0:02:06|0|0:13:04|1|0:37:02|0|0:53:43|0|
230|harttle|18|0:58:48|0:05:30|0|0:20:38|0|0:40:54|0|0:58:48|0|
231|shivam_2018|18|0:59:04|0:02:22|0|0:18:52|2|0:36:07|0|0:49:04|0|
232|jerilee|18|0:59:07|0:03:13|0|0:18:33|0|0:39:00|2|0:49:07|0|
233|018429|18|0:59:11|0:03:12|0|0:17:02|0|0:36:42|1|0:54:11|0|
234|Freemancs|18|0:59:24|0:03:05|0|0:11:58|1|0:30:25|1|0:49:24|0|
235|yuruiyin|18|0:59:31|0:03:39|0|0:19:48|0|0:44:26|0|0:59:31|0|
236|maddenvvs|18|0:59:47|0:02:42|0|0:11:10|1|0:54:47|0|0:29:28|0|
237|jeremyzhang96|18|0:59:48|0:01:21|0|0:06:50|0|0:48:38|0|0:59:48|0|
238|weiyinfu|18|0:59:51|0:05:15|0|0:15:28|1|0:32:14|1|0:49:51|0|
239|untitled-4z|18|0:59:51|0:02:21|0|0:11:03|0|0:36:21|1|0:54:51|0|
240|LarryNY|18|1:00:12|0:01:03|0|0:08:21|1|0:40:15|2|0:45:12|0|
241|flyman3046|18|1:00:13|0:01:48|0|0:09:07|0|0:30:03|1|0:55:13|0|
