Rank Name Score Finish Time Q1 (4) Q2 (4) Q3 (6) Q4 (6)
139|tonyli0000|20|1:16:33|0:09:00|1|1:01:33|0|0:52:17|1|0:36:26|1|
140|osamamohamed|20|1:16:45|0:05:19|0|0:24:39|0|0:56:45|4|0:46:52|0|
141|Pascal9|20|1:17:03|0:08:52|1|0:36:15|2|0:43:53|1|0:52:03|1|
142|hao102|20|1:17:12|0:04:49|0|0:48:17|1|0:41:09|2|1:02:12|0|
143|youjump|20|1:17:26|0:05:45|0|0:46:56|0|1:01:09|0|1:12:26|1|
144|kk1987|20|1:17:48|0:11:09|1|0:25:17|0|0:38:54|0|1:02:48|2|
145|w12379564|20|1:17:53|0:12:19|0|1:07:53|2|0:53:25|0|1:06:23|0|
146|Aragog|20|1:18:23|0:05:50|0|0:32:06|2|0:41:15|0|1:03:23|1|
147|YangZhenjian|20|1:18:37|0:02:55|0|0:32:35|1|0:36:53|0|0:58:37|3|
148|dnetdvp|20|1:18:38|0:07:05|0|1:04:56|0|0:27:06|0|1:18:38|0|
149|TENGYUZHOU|20|1:18:40|0:06:36|0|0:29:09|1|0:55:38|2|1:03:40|0|
150|0xF4|20|1:19:00|0:04:19|1|0:17:56|0|0:45:18|0|1:09:00|1|
151|sciencebeer|20|1:19:03|0:06:32|0|0:51:16|1|0:19:27|0|1:09:03|1|
152|quadpixels|20|1:19:14|0:07:30|0|0:18:28|1|0:24:15|0|1:04:14|2|
153|clark007|20|1:19:16|0:04:30|0|0:34:16|5|0:41:27|0|0:49:16|1|
154|Berwyn|20|1:19:52|0:05:04|0|1:19:52|0|0:30:32|0|0:43:57|0|
155|iwfwcf|20|1:20:02|0:05:05|0|0:25:47|2|0:29:51|0|1:10:02|0|
156|MakeChanges|20|1:20:03|0:20:39|1|0:47:42|0|0:55:29|0|1:10:03|1|
157|sssworld|20|1:20:12|0:14:46|0|0:49:35|1|0:58:17|0|1:10:12|1|
158|zhou_zzz|20|1:20:13|0:07:55|0|1:15:13|1|0:29:24|0|0:43:21|0|
159|scau_grated|20|1:20:37|0:06:50|0|0:48:11|1|0:56:00|0|1:15:37|0|
160|ForGive|20|1:20:59|0:03:44|0|1:00:59|2|0:15:10|1|0:22:46|1|
161|hardport|20|1:21:10|0:06:55|0|0:33:43|0|0:50:01|1|1:11:10|1|
162|flyg|20|1:21:11|0:07:41|0|0:42:09|0|0:57:16|0|1:11:11|2|
163|lilidavid|20|1:21:30|0:15:44|0|1:21:30|0|0:32:47|0|0:57:21|0|
164|AdamTai|20|1:21:33|0:07:42|0|0:36:49|2|0:24:11|0|1:06:33|1|
165|paulwater|20|1:21:42|0:09:09|1|0:31:13|1|0:39:57|0|1:06:42|1|
166|zhongzeng|20|1:21:59|0:14:41|0|1:16:59|1|1:10:26|0|1:02:18|0|
167|mravikiran|20|1:22:41|0:05:05|0|0:46:44|0|1:07:41|3|0:21:59|0|
168|NEU20133823|20|1:22:41|0:05:03|0|0:49:47|3|0:53:51|0|1:02:41|1|
169|godayaldivya|20|1:22:55|0:08:11|0|0:47:49|0|1:22:55|0|1:05:55|0|
170|kangtaku|20|1:22:59|0:14:19|1|0:51:39|1|1:00:43|0|1:07:59|1|
171|Aghost|20|1:23:19|0:04:58|0|1:03:19|2|0:36:07|2|0:47:59|0|
172|xhuaoe|20|1:23:26|0:05:48|0|1:08:26|1|0:33:34|1|0:49:19|1|
173|Choper|20|1:23:30|0:05:54|0|0:33:19|2|0:48:34|0|1:08:30|1|
174|mu5|20|1:23:46|0:11:06|0|0:38:18|0|1:04:10|1|1:18:46|0|
175|raincoat911|20|1:24:01|0:05:36|0|1:14:01|2|0:13:29|0|0:46:51|0|
176|andrew_zxc|20|1:24:04|0:06:23|0|0:19:51|0|0:50:04|1|1:19:04|0|
177|xiangyuan|20|1:24:41|0:06:00|0|0:56:34|1|1:07:37|0|1:19:41|0|
178|heit|20|1:25:27|0:11:24|0|1:15:27|0|0:25:35|1|0:36:05|1|
179|pobegaev|20|1:25:29|0:05:57|0|0:36:01|1|0:48:07|0|1:20:29|0|
180|oreo2|20|1:25:33|0:19:55|1|0:34:17|1|0:49:20|0|1:10:33|1|
181|annika_zhang|20|1:26:16|0:07:09|1|0:32:48|1|0:41:08|0|1:11:16|1|
182|yajingleo|20|1:26:18|0:05:40|0|1:11:18|0|0:33:12|1|1:02:01|2|
